adult,genres,release_date,revenue,title,imdbId,rating,review_count,script_size,has_script,mpaa_rating
False,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",1997,33956608.0,The Relic,120004,2.815599830436626,2359,25617.0,True,R
False,"[{'id': 18, 'name': 'Drama'}]",1997,3028094.0,Dangerous Ground,118927,2.6400862068965516,232,17787.0,True,R
False,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1997,294064.0,Bliss,118742,3.185567010309278,291,,False,R
False,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",1997,2154540.0,Shadow Conspiracy,120107,2.773480662983425,362,20253.0,True,R
False,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",1997,1179002.0,Nightwatch,119791,3.1004645760743323,861,15670.0,True,R
False,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",1997,25804707.0,Murder at 1600,119731,3.084110696517413,3216,18696.0,True,R
False,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1997,9381260.0,Fierce Creatures,119115,3.2211581291759463,2245,30835.0,True,PG-13
False,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",1997,11466088.0,Turbulence,120390,2.598181818181818,825,22946.0,True,R
False,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",1997,31987563.0,Metro,119664,2.869686411149826,1435,33749.0,True,R
False,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",1997,178127760.0,Dante's Peak,118928,2.8208035839283214,7143,22479.0,True,PG-13
False,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1997,589304.0,Prefontaine,119937,3.3344283837056503,761,28496.0,True,PG-13
